datetime,power,ec_wind_speed_70m
2021-05-04 21:00:00,8.8108,3.6289241
2021-05-04 21:15:00,8.7075,3.184296
2021-05-04 21:30:00,8.6588,2.575022
2021-05-04 21:45:00,8.6913,2.0814843
2021-05-04 22:00:00,8.8162,1.1609902
2021-05-04 22:15:00,9.0633,2.6432393
2021-05-04 22:30:00,9.4826,6.3006473
2021-05-04 22:45:00,10.1037,6.327729
2021-05-04 23:00:00,10.9647,7.088611
2021-05-04 23:15:00,12.1228,7.5484157
2021-05-04 23:30:00,13.6272,7.1798697
2021-05-04 23:45:00,15.5388,7.016353
2021-05-05 00:00:00,16.0218,6.1419864
2021-05-05 00:15:00,17.5252,6.4654675
2021-05-05 00:30:00,19.3742,6.761261
2021-05-05 00:45:00,21.6139,6.8634176
2021-05-05 01:00:00,24.2886,6.891109
2021-05-05 01:15:00,27.4717,7.111189
2021-05-05 01:30:00,31.0302,7.495778
2021-05-05 01:45:00,34.9629,7.9941797
2021-05-05 02:00:00,39.283,8.359439
2021-05-05 02:15:00,43.9783,8.534444
2021-05-05 02:30:00,49.002,8.678207
2021-05-05 02:45:00,54.3236,9.085384
2021-05-05 03:00:00,59.9005,9.606789
2021-05-05 03:15:00,65.769,10.854487
2021-05-05 03:30:00,71.5703,10.781438
2021-05-05 03:45:00,77.2749,10.661785
2021-05-05 04:00:00,82.7886,10.630116
2021-05-05 04:15:00,88.0197,11.141175
2021-05-05 04:30:00,92.527,11.558899
2021-05-05 04:45:00,96.2407,12.004389
2021-05-05 05:00:00,99.1679,12.437774
2021-05-05 05:15:00,101.3056,12.374848
2021-05-05 05:30:00,102.6916,12.589044
2021-05-05 05:45:00,103.4009,13.030022
2021-05-05 06:00:00,103.5146,12.631834
2021-05-05 06:15:00,103.0603,12.321853
2021-05-05 06:30:00,102.465,12.0223255
2021-05-05 06:45:00,101.7858,11.719975
2021-05-05 07:00:00,100.9953,11.420192
2021-05-05 07:15:00,100.0943,11.05418
2021-05-05 07:30:00,99.4203,10.7785015
2021-05-05 07:45:00,99.0558,10.3758545
2021-05-05 08:00:00,98.9998,9.692887
2021-05-05 08:15:00,99.3081,8.740431
2021-05-05 08:30:00,100.0662,7.981559
2021-05-05 08:45:00,101.2492,7.495414
2021-05-05 09:00:00,102.9468,7.129067
2021-05-05 09:15:00,105.1374,6.807553
2021-05-05 09:30:00,108.2871,6.8719697
2021-05-05 09:45:00,112.4097,7.169457
2021-05-05 10:00:00,117.5103,7.529645
2021-05-05 10:15:00,123.5724,8.052401
2021-05-05 10:30:00,129.9959,8.55029
2021-05-05 10:45:00,136.7004,8.868119
2021-05-05 11:00:00,143.5938,9.040725
2021-05-05 11:15:00,150.5009,9.237991
2021-05-05 11:30:00,156.9532,9.583497
2021-05-05 11:45:00,162.7192,10.090474
2021-05-05 12:00:00,167.4893,10.517993
2021-05-05 12:15:00,172.553,11.015581
2021-05-05 12:30:00,177.3176,11.555854
2021-05-05 12:45:00,180.6306,12.077041
2021-05-05 13:00:00,182.8661,12.617748
2021-05-05 13:15:00,184.3276,13.13493
2021-05-05 13:30:00,185.2018,13.581575
2021-05-05 13:45:00,185.7073,13.820556
2021-05-05 14:00:00,185.9872,14.053216
2021-05-05 14:15:00,186.1345,14.262277
2021-05-05 14:30:00,186.2044,14.440021
2021-05-05 14:45:00,186.2341,14.606034
2021-05-05 15:00:00,186.2435,14.79731
2021-05-05 15:15:00,186.239,14.930228
2021-05-05 15:30:00,186.2152,15.117871
2021-05-05 15:45:00,186.1529,15.319695
2021-05-05 16:00:00,186.0171,15.427143
2021-05-05 16:15:00,185.7457,15.524034
2021-05-05 16:30:00,185.2973,15.759151
2021-05-05 16:45:00,184.5925,15.932483
2021-05-05 17:00:00,183.5227,15.84825
2021-05-05 17:15:00,181.9407,15.646617
2021-05-05 17:30:00,179.6111,15.462207
2021-05-05 17:45:00,176.2481,15.35213
2021-05-05 18:00:00,171.4129,15.265614
2021-05-05 18:15:00,166.8206,14.980741
2021-05-05 18:30:00,161.8469,14.734835
2021-05-05 18:45:00,155.705,14.712075
2021-05-05 19:00:00,148.5596,14.486126
2021-05-05 19:15:00,140.6217,13.537276
2021-05-05 19:30:00,132.3339,13.149056
2021-05-05 19:45:00,123.9198,12.60425
2021-05-05 20:00:00,115.5665,11.8535
2021-05-05 20:15:00,107.3973,11.374324
2021-05-05 20:30:00,99.5325,11.805565
2021-05-05 20:45:00,92.0636,12.831512
2021-05-05 21:00:00,84.9772,12.826019
2021-05-05 21:15:00,78.376,12.169889
2021-05-05 21:30:00,72.3111,10.04724
2021-05-05 21:45:00,66.8131,8.930973
2021-05-05 22:00:00,61.7868,8.829782
2021-05-05 22:15:00,57.2282,9.125787
2021-05-05 22:30:00,52.8923,9.009044
2021-05-05 22:45:00,48.8004,8.467138
2021-05-05 23:00:00,44.933,8.193488
2021-05-05 23:15:00,41.2724,7.9179163
2021-05-05 23:30:00,37.8035,7.8075495
2021-05-05 23:45:00,34.5135,7.586442
2021-05-06 00:00:00,28.1654,9.973201
2021-05-06 00:15:00,25.8247,10.160798
2021-05-06 00:30:00,23.6513,8.533185
2021-05-06 00:45:00,21.6525,7.786514
2021-05-06 01:00:00,19.7949,7.2020974
2021-05-06 01:15:00,18.0759,6.6974926
2021-05-06 01:30:00,16.523,6.3295383
2021-05-06 01:45:00,15.1252,6.097796
2021-05-06 02:00:00,13.8863,5.890092
2021-05-06 02:15:00,12.781,5.7630873
2021-05-06 02:30:00,11.8078,5.6156883
2021-05-06 02:45:00,10.9647,5.4312224
2021-05-06 03:00:00,10.2386,5.2679405
2021-05-06 03:15:00,9.6131,5.154064
2021-05-06 03:30:00,9.1131,5.045774
2021-05-06 03:45:00,8.7347,4.892955
2021-05-06 04:00:00,8.4654,4.6540556
2021-05-06 04:15:00,8.3005,4.469894
2021-05-06 04:30:00,8.1949,4.365715
2021-05-06 04:45:00,8.1528,4.317096
2021-05-06 05:00:00,8.1686,4.2669425
2021-05-06 05:15:00,8.2423,4.2006226
2021-05-06 05:30:00,8.3535,4.1562624
2021-05-06 05:45:00,8.4975,4.132929
2021-05-06 06:00:00,8.6588,3.842042
2021-05-06 06:15:00,8.8381,3.6611316
2021-05-06 06:30:00,9.102,3.4714665
2021-05-06 06:45:00,9.4487,3.5847523
2021-05-06 07:00:00,9.8712,4.016168
2021-05-06 07:15:00,10.3745,4.0735607
2021-05-06 07:30:00,10.8975,3.9597855
2021-05-06 07:45:00,11.4349,4.0186076
2021-05-06 08:00:00,11.9679,3.8620472
2021-05-06 08:15:00,12.4888,3.4418547
2021-05-06 08:30:00,13.0368,3.1961594
2021-05-06 08:45:00,13.5993,3.0091944
2021-05-06 09:00:00,14.1414,2.907211
2021-05-06 09:15:00,14.6534,2.9644728
2021-05-06 09:30:00,15.2973,2.985102
2021-05-06 09:45:00,16.0373,2.8861554
2021-05-06 10:00:00,16.8498,2.560358
2021-05-06 10:15:00,17.6659,2.2462065
2021-05-06 10:30:00,18.4157,2.204772
2021-05-06 10:45:00,19.0566,2.4587622
2021-05-06 11:00:00,19.5703,2.8215566
2021-05-06 11:15:00,19.9215,3.1058645
2021-05-06 11:30:00,20.1399,3.2195437
2021-05-06 11:45:00,20.2039,3.3530178
2021-05-06 12:00:00,20.1308,3.5112133
2021-05-06 12:15:00,19.9305,3.5992408
2021-05-06 12:30:00,19.7318,3.6737843
2021-05-06 12:45:00,19.5345,3.7117095
2021-05-06 13:00:00,19.3742,3.7892525
2021-05-06 13:15:00,19.2768,3.9947062
2021-05-06 13:30:00,19.0566,4.238836
2021-05-06 13:45:00,18.7688,4.4052076
2021-05-06 14:00:00,18.4499,4.5578303
2021-05-06 14:15:00,18.1604,4.7260056
2021-05-06 14:30:00,17.8491,4.816741
2021-05-06 14:45:00,17.5499,4.9389954
2021-05-06 15:00:00,17.2871,5.073045
2021-05-06 15:15:00,17.0755,5.19112
2021-05-06 15:30:00,17.0351,5.1559534
2021-05-06 15:45:00,17.2055,5.2199507
2021-05-06 16:00:00,17.5913,5.550777
2021-05-06 16:15:00,18.2197,5.603623
2021-05-06 16:30:00,18.9341,5.646354
2021-05-06 16:45:00,19.7318,5.66484
2021-05-06 17:00:00,20.5822,5.662795
2021-05-06 17:15:00,21.4792,5.8058343
2021-05-06 17:30:00,22.3662,6.0650797
2021-05-06 17:45:00,23.1895,6.200579
2021-05-06 18:00:00,23.8796,6.1899385
2021-05-06 18:15:00,24.3944,6.137108
2021-05-06 18:30:00,24.9178,5.9863315
2021-05-06 18:45:00,25.4392,5.6651535
2021-05-06 19:00:00,25.9914,5.265309
2021-05-06 19:15:00,26.5644,4.7723813
2021-05-06 19:30:00,27.0093,4.214385
2021-05-06 19:45:00,27.3092,3.9034612
2021-05-06 20:00:00,27.4252,3.688263
2021-05-06 20:15:00,27.3788,3.4989111
2021-05-06 20:30:00,27.1935,3.3486512
2021-05-06 20:45:00,26.9061,3.2399797
2021-05-06 21:00:00,26.5644,2.9598844
2021-05-06 21:15:00,26.2037,2.4825263
2021-05-06 21:30:00,25.8802,2.111903
2021-05-06 21:45:00,25.6479,2.0294209
2021-05-06 22:00:00,25.5598,2.3944592
2021-05-06 22:15:00,25.6479,4.191471
2021-05-06 22:30:00,25.7141,4.8425136
2021-05-06 22:45:00,25.7583,5.2471266
2021-05-06 23:00:00,25.7251,5.8552938
2021-05-06 23:15:00,25.6038,7.764066
2021-05-06 23:30:00,25.3954,9.929702
2021-05-06 23:45:00,25.0798,10.539165
2021-05-07 00:00:00,25.9468,10.129492
2021-05-07 00:15:00,26.0359,10.374211
2021-05-07 00:30:00,26.0471,10.46584
2021-05-07 00:45:00,25.9802,9.991419
2021-05-07 01:00:00,25.8358,10.403401
2021-05-07 01:15:00,25.6038,10.409471
2021-05-07 01:30:00,25.3517,10.214786
2021-05-07 01:45:00,25.0365,10.391756
2021-05-07 02:00:00,24.6497,9.875467
2021-05-07 02:15:00,24.1517,9.5864315
2021-05-07 02:30:00,23.5996,9.34471
2021-05-07 02:45:00,22.9664,8.96923
2021-05-07 03:00:00,22.2674,9.1025
2021-05-07 03:15:00,21.508,8.718139
2021-05-07 03:30:00,20.778,8.243556
2021-05-07 03:45:00,20.076,7.609398
2021-05-07 04:00:00,19.392,7.203032
2021-05-07 04:15:00,18.7514,7.222964
2021-05-07 04:30:00,18.1604,7.406452
2021-05-07 04:45:00,17.6493,7.898721
2021-05-07 05:00:00,17.2462,8.392154
2021-05-07 05:15:00,16.9543,8.758571
