datetime,power,gfs_wind_speed_10m
2021-05-04 04:15:00,101.475,7.3178663
2021-05-04 04:30:00,99.8694,7.468009
2021-05-04 04:45:00,98.2725,7.4767327
2021-05-04 05:00:00,96.6847,7.460733
2021-05-04 05:15:00,95.1342,7.273194
2021-05-04 05:30:00,93.5115,7.2687063
2021-05-04 05:45:00,91.7915,7.414491
2021-05-04 06:00:00,90.0045,7.3226647
2021-05-04 06:15:00,88.1532,7.1549463
2021-05-04 06:30:00,86.3465,6.998433
2021-05-04 06:45:00,84.6104,6.7631373
2021-05-04 07:00:00,82.9439,6.6051235
2021-05-04 07:15:00,81.3716,6.617825
2021-05-04 07:30:00,79.8661,6.8468347
2021-05-04 07:45:00,78.4765,7.3351936
2021-05-04 08:00:00,77.225,7.192055
2021-05-04 08:15:00,76.0837,7.8188834
2021-05-04 08:30:00,75.0258,8.289403
2021-05-04 08:45:00,74.0494,8.911217
2021-05-04 09:00:00,73.1771,9.492584
2021-05-04 09:15:00,72.359,10.032607
2021-05-04 09:30:00,71.5703,10.137865
2021-05-04 09:45:00,70.8105,10.219802
2021-05-04 10:00:00,69.9852,10.133729
2021-05-04 10:15:00,69.1426,9.945083
2021-05-04 10:30:00,68.0523,9.76533
2021-05-04 10:45:00,66.7219,9.618456
2021-05-04 11:00:00,65.0938,9.498018
2021-05-04 11:15:00,63.1398,9.382669
2021-05-04 11:30:00,60.8387,9.22647
2021-05-04 11:45:00,58.2204,9.074204
2021-05-04 12:00:00,55.2999,8.888627
2021-05-04 12:15:00,52.0813,8.654048
2021-05-04 12:30:00,48.9103,8.370909
2021-05-04 12:45:00,45.7812,7.99427
2021-05-04 13:00:00,42.7409,7.6455064
2021-05-04 13:15:00,39.7653,7.3384595
2021-05-04 13:30:00,36.8665,6.997497
2021-05-04 13:45:00,34.0548,6.648794
2021-05-04 14:00:00,31.3394,6.3266077
2021-05-04 14:15:00,28.74,6.09193
2021-05-04 14:30:00,26.271,5.9409056
2021-05-04 14:45:00,23.9109,5.862477
2021-05-04 15:00:00,21.7008,5.6774516
2021-05-04 15:15:00,19.624,5.372335
2021-05-04 15:30:00,17.8157,5.146461
2021-05-04 15:45:00,16.2398,4.9831715
2021-05-04 16:00:00,14.9028,4.8570642
2021-05-04 16:15:00,13.7808,4.7191906
2021-05-04 16:30:00,12.781,4.566047
2021-05-04 16:45:00,11.9037,4.460436
2021-05-04 17:00:00,11.1428,4.4354153
2021-05-04 17:15:00,10.4756,4.4099207
2021-05-04 17:30:00,9.9465,4.3832827
2021-05-04 17:45:00,9.5336,4.376388
2021-05-04 18:00:00,9.2243,4.391745
2021-05-04 18:15:00,9.0026,4.425003
2021-05-04 18:30:00,8.8599,4.4758925
2021-05-04 18:45:00,8.7944,4.561822
2021-05-04 19:00:00,8.789,4.662303
