datetime,power,gfs_wind_speed_10m,gfs_wind_speed_70m
2021-05-03 15:30:00,65.9767,4.286405,4.735872
2021-05-03 15:45:00,67.0154,4.7883396,5.3027687
2021-05-03 16:00:00,68.0127,5.3674726,5.92562
2021-05-03 16:15:00,68.9673,5.502139,6.067384
2021-05-03 16:30:00,69.599,5.4022894,5.9522886
2021-05-03 16:45:00,69.8779,5.1114745,5.621976
2021-05-03 17:00:00,69.8018,4.726674,5.193181
2021-05-03 17:15:00,69.2702,4.351287,4.7809324
2021-05-03 17:30:00,68.3887,4.141882,4.5488195
2021-05-03 17:45:00,67.0651,4.1268682,4.5179677
2021-05-03 18:00:00,65.3136,4.234888,4.621504
2021-05-03 18:15:00,63.1058,4.293498,4.6775575
2021-05-03 18:30:00,60.9173,4.2106147,4.594443
2021-05-03 18:45:00,58.7736,4.0516376,4.4242644
2021-05-03 19:00:00,56.6984,4.151235,4.5185113
2021-05-03 19:15:00,54.7352,4.495071,4.907922
2021-05-03 19:30:00,52.8156,4.5754075,5.067101
2021-05-03 19:45:00,50.9824,4.980162,5.591738
2021-05-03 20:00:00,49.3155,4.95207,5.7109547
2021-05-03 20:15:00,47.9482,4.838213,6.1778064
2021-05-03 20:30:00,47.1445,4.7890296,6.7184944
2021-05-03 20:45:00,47.0248,5.0656366,7.3340163
2021-05-03 21:00:00,47.686,5.771096,8.253383
2021-05-03 21:15:00,49.192,5.82033,8.430593
2021-05-03 21:30:00,51.1511,5.650225,8.407658
2021-05-03 21:45:00,53.7045,5.4899955,8.42953
2021-05-03 22:00:00,56.9016,5.382758,8.526007
2021-05-03 22:15:00,60.8467,5.3270288,8.654527
2021-05-03 22:30:00,65.0445,5.2898483,8.717311
2021-05-03 22:45:00,69.5484,5.2809563,8.786748
2021-05-03 23:00:00,74.259,5.379385,8.872984
2021-05-03 23:15:00,79.1419,5.611765,9.227487
2021-05-03 23:30:00,84.268,5.9344554,9.53784
2021-05-03 23:45:00,89.4879,5.8580074,9.288378
2021-05-04 00:00:00,108.9771,5.7665434,9.275988
2021-05-04 00:15:00,111.1962,6.0444937,9.675846
2021-05-04 00:30:00,112.7568,6.2777443,10.0184555
2021-05-04 00:45:00,113.7119,6.3715663,10.199945
2021-05-04 01:00:00,114.1173,6.5546474,10.460016
2021-05-04 01:15:00,114.0304,6.7866926,10.646236
2021-05-04 01:30:00,113.7987,6.896041,10.756384
2021-05-04 01:45:00,113.4223,6.9214244,10.858882
2021-05-04 02:00:00,112.9304,7.0146794,10.967733
2021-05-04 02:15:00,112.323,7.100256,11.117712
2021-05-04 02:30:00,111.4561,7.360359,11.575989
2021-05-04 02:45:00,110.4172,7.566888,11.786708
2021-05-04 03:00:00,109.1497,7.200128,11.390667
2021-05-04 03:15:00,107.7128,7.239018,11.510901
2021-05-04 03:30:00,106.223,7.2923317,11.515882
2021-05-04 03:45:00,104.6812,7.230408,11.512344
2021-05-04 04:00:00,103.0887,7.243587,11.50314
2021-05-04 04:15:00,101.475,7.3178663,11.596987
2021-05-04 04:30:00,99.8694,7.468009,11.815368
2021-05-04 04:45:00,98.2725,7.4767327,11.894156
2021-05-04 05:00:00,96.6847,7.460733,11.793672
2021-05-04 05:15:00,95.1342,7.273194,11.59904
2021-05-04 05:30:00,93.5115,7.2687063,11.782002
2021-05-04 05:45:00,91.7915,7.414491,12.043382
2021-05-04 06:00:00,90.0045,7.3226647,11.969829
2021-05-04 06:15:00,88.1532,7.1549463,11.96316
2021-05-04 06:30:00,86.3465,6.998433,12.008523
2021-05-04 06:45:00,84.6104,6.7631373,11.834991
2021-05-04 07:00:00,82.9439,6.6051235,11.39324
2021-05-04 07:15:00,81.3716,6.617825,11.024363
2021-05-04 07:30:00,79.8661,6.8468347,10.62783
2021-05-04 07:45:00,78.4765,7.3351936,10.290067
2021-05-04 08:00:00,77.225,7.192055,10.002661
2021-05-04 08:15:00,76.0837,7.8188834,9.8871765
2021-05-04 08:30:00,75.0258,8.289403,9.899803
2021-05-04 08:45:00,74.0494,8.911217,10.619669
2021-05-04 09:00:00,73.1771,9.492584,11.371562
2021-05-04 09:15:00,72.359,10.032607,11.909916
