datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,corrected_average_wind_speed,original_average_wind_speed,original_gfs_wind_speed_70m,original_ec_wind_speed_70m,error,abs_error
2022-08-16 06:30:00,0.0,16.074425478332543,4.5998823175502,21.158917335311003,97.32852970920348,6,8,1,4.5998823175502,6.077313084762281,4.5998823175502,2.2275065,1.159684,3.295329,16.074425478332543,16.074425478332543
2022-08-16 06:45:00,0.0,16.074425478332543,4.5998823175502,21.158917335311003,97.32852970920348,6,8,1,4.5998823175502,6.077313084762281,4.5998823175502,2.3701087,1.3594934,3.380724,16.074425478332543,16.074425478332543
2022-08-16 07:00:00,0.0,16.074425478332543,4.5998823175502,21.158917335311003,97.32852970920348,7,8,1,4.5998823175502,5.53935288139458,4.5998823175502,2.56818235,1.6964687,3.439896,16.074425478332543,16.074425478332543
2022-08-16 07:15:00,0.0,16.074425478332543,4.5998823175502,21.158917335311003,97.32852970920348,7,8,1,4.5998823175502,5.2293748380743015,4.5998823175502,2.64253395,1.9976209,3.287447,16.074425478332543,16.074425478332543
2022-08-16 07:30:00,0.0,16.074425478332543,4.5998823175502,21.158917335311003,97.32852970920348,7,8,1,4.5998823175502,5.213448181796821,4.5998823175502,2.5487860500000004,2.1839845,2.9135876,16.074425478332543,16.074425478332543
2022-08-16 07:45:00,0.0,16.074425478332543,4.5998823175502,21.158917335311003,97.32852970920348,7,8,1,4.5998823175502,5.2095341982974395,4.5998823175502,2.51592,2.423451,2.608389,16.074425478332543,16.074425478332543
2022-08-16 08:00:00,0.0,16.074425478332543,4.5998823175502,21.158917335311003,97.32852970920348,8,8,1,4.5998823175502,5.2027706246101495,4.5998823175502,2.6469779,2.7597215,2.5342343,16.074425478332543,16.074425478332543
2022-08-16 08:15:00,0.0,18.066235715104717,4.750888875772086,22.570945109934954,107.23205203845232,8,8,1,4.5998823175502,5.051764066388266,4.750888875772086,2.88238345,3.1204119,2.644355,18.066235715104717,18.066235715104717
2022-08-16 08:30:00,0.0,18.652817218094384,4.750888875772086,22.570945109934954,107.23205203845232,8,8,1,4.750888875772086,5.051764066388266,4.750888875772086,2.989131,3.365212,2.61305,18.652817218094384,18.652817218094384
2022-08-16 08:45:00,0.0,18.652817218094384,4.750888875772086,22.570945109934954,107.23205203845232,8,8,1,4.750888875772086,5.113667419447677,4.750888875772086,3.0203632000000002,3.451761,2.5889654,18.652817218094384,18.652817218094384
2022-08-16 09:00:00,0.0,18.652817218094384,4.750888875772086,22.570945109934954,107.23205203845232,9,8,1,4.750888875772086,4.816031829000698,4.750888875772086,3.29413385,3.76941,2.8188577,18.652817218094384,18.652817218094384
2022-08-16 09:15:00,0.0,18.652817218094384,4.748757342193343,22.550696295035188,107.08778460262056,9,8,1,4.750888875772086,4.816031829000698,4.748757342193343,3.72292295,4.413466,3.0323799,18.652817218094384,18.652817218094384
2022-08-16 09:30:00,0.0,18.652817218094384,4.755520915880632,22.614979181378168,107.54600650924894,9,8,1,4.748757342193343,4.816031829000698,4.755520915880632,3.96504485,4.8543944,3.0756953,18.652817218094384,18.652817218094384
2022-08-16 09:45:00,0.0,18.652817218094384,4.755520915880632,22.614979181378168,107.54600650924894,9,8,1,4.755520915880632,4.816031829000698,4.755520915880632,4.1398367,5.0528455,3.2268279,18.652817218094384,18.652817218094384
2022-08-16 10:00:00,0.0,18.652817218094384,4.755520915880632,22.614979181378168,107.54600650924894,10,8,1,4.755520915880632,4.761465408253214,4.755520915880632,4.4480324,5.3146286,3.5814362,18.652817218094384,18.652817218094384
2022-08-16 10:15:00,0.0,20.059949320644392,4.963988650360741,24.64118332091025,122.31855433645687,10,8,1,4.755520915880632,4.725128284102921,4.963988650360741,4.8738980000000005,5.660325,4.087471,20.059949320644392,20.059949320644392
2022-08-16 10:30:00,0.0,23.294463140026416,5.129569555528474,26.312483825004584,134.97171595907892,10,8,1,4.963988650360741,4.725128284102921,5.129569555528474,5.26533375,5.9308105,4.599857,23.294463140026416,23.294463140026416
2022-08-16 10:45:00,0.4298,23.68632417464707,5.129569555528474,26.312483825004584,134.97171595907892,10,8,1,5.129569555528474,4.714946004959704,5.129569555528474,5.5124759999999995,6.122898,4.902054,23.25652417464707,23.25652417464707
2022-08-16 11:00:00,2.5255,23.68632417464707,5.359126346462156,28.720235197344813,153.91536912268032,11,8,1,5.129569555528474,4.714946004959704,5.359126346462156,5.6767173500000006,6.323238,5.0301967,21.160824174647068,21.160824174647068
